Electron 	 Neutron 	 Uranium-235 	 Plutonium 
1.50769e-22	8.07057e-26	3.51587e-28	3.45704e-28
6.03075e-22	3.22823e-25	1.40635e-27	1.38282e-27
1.35692e-21	7.26351e-25	3.16428e-27	3.11134e-27
2.4123e-21	1.29129e-24	5.62538e-27	5.53127e-27
3.76922e-21	2.01764e-24	8.78966e-27	8.6426e-27
5.42768e-21	2.9054e-24	1.26571e-26	1.24453e-26
7.38767e-21	3.95458e-24	1.72277e-26	1.69395e-26
9.6492e-21	5.16516e-24	2.25015e-26	2.21251e-26
1.22123e-20	6.53716e-24	2.84785e-26	2.8002e-26
1.50769e-20	8.07057e-24	3.51587e-26	3.45704e-26
1.8243e-20	9.76538e-24	4.2542e-26	4.18302e-26
2.17107e-20	1.16216e-23	5.06285e-26	4.97814e-26
2.54799e-20	1.36393e-23	5.94181e-26	5.8424e-26
2.95507e-20	1.58183e-23	6.8911e-26	6.7758e-26
3.3923e-20	1.81588e-23	7.9107e-26	7.77834e-26
3.85968e-20	2.06606e-23	9.00062e-26	8.85003e-26
4.35722e-20	2.33239e-23	1.01609e-25	9.99085e-26
4.88491e-20	2.61486e-23	1.13914e-25	1.12008e-25
5.44275e-20	2.91347e-23	1.26923e-25	1.24799e-25
6.03075e-20	3.22823e-23	1.40635e-25	1.38282e-25
6.6489e-20	3.55912e-23	1.5505e-25	1.52456e-25
7.29721e-20	3.90615e-23	1.70168e-25	1.67321e-25
7.97567e-20	4.26933e-23	1.85989e-25	1.82878e-25
8.68428e-20	4.64865e-23	2.02514e-25	1.99126e-25
9.42305e-20	5.0441e-23	2.19742e-25	2.16065e-25
1.0192e-19	5.4557e-23	2.37672e-25	2.33696e-25
1.0991e-19	5.88344e-23	2.56307e-25	2.52018e-25
1.18203e-19	6.32732e-23	2.75644e-25	2.71032e-25
1.26797e-19	6.78735e-23	2.95684e-25	2.90737e-25
1.35692e-19	7.26351e-23	3.16428e-25	3.11134e-25
