Monte Carlo	Analytical Solution
2.20108e-28	3.45704e-28
8.83048e-28	1.38282e-27
2.00447e-27	3.11134e-27
3.52988e-27	5.53127e-27
5.50163e-27	8.6426e-27
7.93759e-27	1.24453e-26
1.08395e-26	1.69395e-26
1.42119e-26	2.21251e-26
1.75513e-26	2.8002e-26
2.19274e-26	3.45704e-26
2.65719e-26	4.18302e-26
3.14828e-26	4.97814e-26
3.72304e-26	5.8424e-26
4.32783e-26	6.7758e-26
4.94793e-26	7.77834e-26
5.62129e-26	8.85003e-26
6.38786e-26	9.99085e-26
7.19973e-26	1.12008e-25
7.95552e-26	1.24799e-25
8.81653e-26	1.38282e-25
